uri,fullName,firstName,lastName,image,memberCode,houses,houseCodes,parties,constituencies,representTypes,committees
https://data.oireachtas.ie/ie/oireachtas/member/id/Gareth-Scahill.S.2025-01-29,Gareth Scahill,Gareth,Scahill,False,Gareth-Scahill.S.2025-01-29,27th Seanad,seanad,Fine Gael,Nominated by the Taoiseach,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Eamon-Scanlon.S.2002-09-12,Eamon Scanlon,Eamon,Scanlon,False,Eamon-Scanlon.S.2002-09-12,34th Dáil,dail,Fianna Fáil,Sligo-Leitrim,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Conor-Sheehan.D.2024-11-29,Conor Sheehan,Conor,Sheehan,False,Conor-Sheehan.D.2024-11-29,34th Dáil,dail,Labour Party,Limerick City,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Marie-Sherlock.S.2020-03-30,Marie Sherlock,Marie,Sherlock,False,Marie-Sherlock.S.2020-03-30,34th Dáil,dail,Labour Party,Dublin Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Brendan-Smith.D.1992-12-14,Brendan Smith,Brendan,Smith,False,Brendan-Smith.D.1992-12-14,34th Dáil,dail,Fianna Fáil,Cavan-Monaghan,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Duncan-Smith.D.2020-02-08,Duncan Smith,Duncan,Smith,False,Duncan-Smith.D.2020-02-08,34th Dáil,dail,Labour Party,Dublin Fingal East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Niamh-Smyth.D.2016-10-03,Niamh Smyth,Niamh,Smyth,False,Niamh-Smyth.D.2016-10-03,34th Dáil,dail,Fianna Fáil,Cavan-Monaghan,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Brian-Stanley.D.2011-03-09,Brian Stanley,Brian,Stanley,False,Brian-Stanley.D.2011-03-09,34th Dáil,dail,Independent,Laois,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Patricia-Stephenson.S.2025-01-29,Patricia Stephenson,Patricia,Stephenson,False,Patricia-Stephenson.S.2025-01-29,27th Seanad,seanad,Social Democrats,Labour Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Edward-Timmins.D.2024-11-29,Edward Timmins,Edward,Timmins,False,Edward-Timmins.D.2024-11-29,34th Dáil,dail,Fine Gael,Wicklow,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Gillian-Toole.D.2024-11-29,Gillian Toole,Gillian,Toole,False,Gillian-Toole.D.2024-11-29,34th Dáil,dail,Independent,Meath East,constituency,
